InspectionID,Facility_ID,Facility_Name,Facility_Address,Facility_Address_2,Facility_City,Facility_State,Facility_Postal_Code,Facility_County,Venue_Type,Inspection_Date,Inspection_Score,Inspection_Purpose,Inspection_Passed,No_Imminent_Health_Hazards,Disinfectant,Free_Chlorine,Free_Bromine,pH,Enclosure,Main_Drain_Visible,Safety_Equipment,Disinfectant_Level,pH_Balance,Inspection_Notes,OBJECTID
1321559,91985,ESPORTA FITNESS,4620 TAYLORSVILLE RD,,LOUISVILLE,KY,40220,JEFFERSON,POOL,2017/09/15,92,ROUTINE,FALSE,TRUE,CHLORINE,1.6,,7.4000001,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - lighting, underwater and deck: adequate, operating, good repair| other - disinfectant combined residual| other - operator testing frequency, log sheets maintained",10
1321559,91985,ESPORTA FITNESS,4620 TAYLORSVILLE RD,,LOUISVILLE,KY,40220,JEFFERSON,POOL,2017/09/15,92,ROUTINE,TRUE,TRUE,CHLORINE,1.6,,7.4000001,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - lighting, underwater and deck: adequate, operating, good repair| other - disinfectant combined residual| other - operator testing frequency, log sheets maintained",11
1321627,78766,HILTON GARDEN INN,9850 PARK PLAZA AVE,,LOUISVILLE,KY,40241,JEFFERSON,POOL,2017/09/15,,OTHER,TRUE,TRUE,CHLORINE,2,,7.5999999,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual| other - temperature (heated facilities),12
1321975,29467,YMCA SOUTHWEST,2800 FORDHAVEN RD,,LOUISVILLE,KY,40214,JEFFERSON,POOL,2017/09/18,,OTHER,TRUE,TRUE,CHLORINE,1.6,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual,13
1321976,51574,HAZELWOOD CTR ICFR,1800 BLUEGRASS AVE,,LOUISVILLE,KY,40215,JEFFERSON,POOL,2017/09/18,,OTHER,TRUE,TRUE,CHLORINE,2.5999999,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE, other - total alkalinity (50-180 ppm),14
1322173,101284,HILTON GARDEN INN,400 SHERBURN LANE,,LOUISVILLE,KY,40207,JEFFERSON,POOL,2017/09/18,96,FOLLOW-UP,TRUE,TRUE,CHLORINE,2,,7.1999998,TRUE,TRUE,TRUE,TRUE,TRUE," other - chemicals stock: adequate, fresh, storage, usage| other - operator testing frequency, log sheets maintained",15
1322339,103431,WINGATE BY WYNDHAM,12301 ALLIANT COURT,,JEFFERSONTOWN,KY,40299,JEFFERSON,POOL,2017/09/19,90,ROUTINE,FALSE,TRUE,BROMINE,,3.5999999,7.8000002,TRUE,TRUE,FALSE,FALSE,TRUE," other - flow meter: installation, accessibility, operating, good repair| Disinfectant Level - disinfectant free residual| other - vacuum system: installation, operating, good repair| Safety Equipment - first aid, safety equipment, spa timer switch, telephone: readily accessible, adequate, maintained, good repair",16
1322339,103431,WINGATE BY WYNDHAM,12301 ALLIANT COURT,,JEFFERSONTOWN,KY,40299,JEFFERSON,POOL,2017/09/19,90,ROUTINE,TRUE,TRUE,BROMINE,,3.5999999,7.8000002,TRUE,TRUE,TRUE,TRUE,TRUE," other - flow meter: installation, accessibility, operating, good repair| Disinfectant Level - disinfectant free residual| other - vacuum system: installation, operating, good repair| Safety Equipment - first aid, safety equipment, spa timer switch, telephone: readily accessible, adequate, maintained, good repair",17
1322412,69696,FOUR POINTS BY SHERATON,2850 CRITTENDEN DR,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2017/09/19,,OTHER,TRUE,TRUE,BROMINE,,4.5999999,7.3000002,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,18
1322415,70161,HILTON GARDEN INN,2735 CRITTENDEN DRIVE,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2017/09/19,,OTHER,TRUE,TRUE,CHLORINE,6,,7.4000001,TRUE,TRUE,TRUE,FALSE,TRUE, other - disinfectant combined residual| Disinfectant Level - disinfectant free residual,19
1322416,66478,COURTYARD BY MARRIOTT,819 PHILLIPS LN,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2017/09/19,,OTHER,TRUE,TRUE,CHLORINE,1.2,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual,20
1322764,76509,COMFORT INN HOTEL,4444 DIXIE HWY,,LOUISVILLE,KY,40216,JEFFERSON,POOL,2017/09/20,,OTHER,TRUE,TRUE,BROMINE,,21,6.9000001,TRUE,TRUE,TRUE,FALSE,FALSE, pH Balance - ph(7.2-7.8)| other - temperature (heated facilities)| Disinfectant Level - disinfectant free residual,21
1322777,78634,SPRING HILL SUITES LOU AIRPORT,820 PHILLIPS LANE,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2017/09/20,,OTHER,TRUE,TRUE,CHLORINE,2.4000001,,7.5,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual,22
1322802,91657,PARK LAUREATE APTS  INDOOR,2050 STONYBROOK DRIVE,,LOUISVILLE,KY,40220,JEFFERSON,POOL,2017/09/20,90,ROUTINE,FALSE,TRUE,CHLORINE,1.6,,7.5,TRUE,TRUE,FALSE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - test kits: provided, proper types, fresh reagents, maintained, proper usage| other - structures, decks, furnishings:  good repair, clean| Safety Equipment - first aid, safety equipment, spa timer switch, telephone: readily accessible, adequate, maintained, good repair",23
1322802,91657,PARK LAUREATE APTS  INDOOR,2050 STONYBROOK DRIVE,,LOUISVILLE,KY,40220,JEFFERSON,POOL,2017/09/20,90,ROUTINE,TRUE,TRUE,CHLORINE,1.6,,7.5,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - test kits: provided, proper types, fresh reagents, maintained, proper usage| other - structures, decks, furnishings:  good repair, clean| Safety Equipment - first aid, safety equipment, spa timer switch, telephone: readily accessible, adequate, maintained, good repair",24
1323105,99898,BEAR PADDLE SWIM CLUB,2915 HURSTBOURNE PKWY,,LOUISVILLE,KY,40220,JEFFERSON,POOL,2017/09/22,,OTHER,TRUE,TRUE,CHLORINE,2,,7.5999999,TRUE,TRUE,TRUE,TRUE,TRUE," other - disinfectant combined residual| other - temperature (heated facilities)| other - operator testing frequency, log sheets maintained",25
1323120,100794,LAQUINTA INN & SUITES,1501 ALLIANT AVENUE,,JEFFERSONTOWN,KY,40299,JEFFERSON,POOL,2017/09/20,97,ROUTINE,FALSE,TRUE,BROMINE,,3.1500001,7.3000002,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,26
1323148,71467,COURTYARD BY MARRIOTT,10200 CHAMPION FARMS DR,,LOUISVILLE,KY,40241,JEFFERSON,POOL,2017/09/22,,OTHER,TRUE,TRUE,CHLORINE,2.8,,7.5,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual| other - disinfectant combined residual| other - temperature (heated facilities),27
1323150,94109,KORT - BROWNSBORO CROSSING,9880 ANGIES WAY,,LOUISVILLE,KY,40241,JEFFERSON,HOT TUB / SPA,2017/09/22,,OTHER,TRUE,TRUE,BROMINE,,4.0500002,7.5,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,28
1323680,64902,BAPTIST MILESTONE SPA,750 CYPRESS STATION DR,,LOUISVILLE,KY,40207,JEFFERSON,HOT TUB / SPA,2017/09/25,,OTHER,TRUE,TRUE,CHLORINE,1,,7.1999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,29
1323681,64951,BAPTIST MILESTONE LAP,750 CYPRESS STATION DR,,LOUISVILLE,KY,40207,JEFFERSON,POOL,2017/09/25,,OTHER,TRUE,TRUE,CHLORINE,0.80000001,,7.1999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,30
1324073,29469,YMCA SOUTHEAST,5930 SIX MILE LANE,,LOUISVILLE,KY,40218,JEFFERSON,POOL,2017/09/26,,OTHER,TRUE,TRUE,CHLORINE,1,,7.1999998,TRUE,TRUE,TRUE,TRUE,TRUE," other - disinfectant combined residual| other - lifeguard(s) on duty: sign posted, lifeguard chairs, adequate, good repair",31
1324119,78986,HOLIDAY INN,447 FARMINGTON AVE,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2017/09/26,,OTHER,TRUE,TRUE,CHLORINE,7.5999999,,7.8000002,TRUE,TRUE,TRUE,FALSE,TRUE, other - disinfectant combined residual| Disinfectant Level - disinfectant free residual,32
1324322,29270,CENTRAL HIGH SCHOOL,1130 W. CHESTNUT ST.,,LOUISVILLE,KY,40213,JEFFERSON,POOL,2017/09/27,,OTHER,TRUE,TRUE,CHLORINE,1,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE, other - total alkalinity (50-180 ppm),33
1324326,93101,VU CLUB,822 S. FLOYD ST.,,LOUISVILLE,KY,40202,JEFFERSON,HOT TUB / SPA,2017/09/26,,OTHER,TRUE,TRUE,CHLORINE,0.60000002,,8,TRUE,TRUE,TRUE,FALSE,FALSE, Disinfectant Level - disinfectant free residual| other - disinfectant combined residual| pH Balance - ph(7.2-7.8),34
1324400,29311,ROYAL AMBASSADOR,1602 GARDINER LN,,LOUISVILLE,KY,40205,JEFFERSON,POOL,2017/09/27,,OTHER,TRUE,FALSE,BROMINE,,14.8,7.5,FALSE,TRUE,TRUE,FALSE,TRUE," Disinfectant Level - disinfectant free residual| other - operator testing frequency, log sheets maintained| Enclosure - facility enclosure: adequate, self closing gate, good repair",35
1324402,47621,ST. XAVIER HIGH SCHOOL,1609 POPLAR LEVEL RD,,LOUISVILLE,KY,40217,JEFFERSON,POOL,2017/09/27,96,ROUTINE,TRUE,TRUE,CHLORINE,2,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - recirculating piping:  identified, approved materials, good repair",36
1324404,101828,QUALITY INN,1301 KENTUCKY MILLS DR,,LOUISVILLE,KY,40299,JEFFERSON,POOL,2017/09/27,,OTHER,TRUE,TRUE,BROMINE,,1.35,7.6999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,37
1324405,98992,FAIRFIELD INN AND SUITES,1220 KENTUCKY MILLS DR,,LOUISVILLE,KY,40299,JEFFERSON,POOL,2017/09/27,,OTHER,TRUE,TRUE,BROMINE,,3.5999999,7.5,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,38
1324908,33320,CYPRESS POINTE #1,425 S. HUBBARDS LN,,LOUISVILLE,KY,40207,JEFFERSON,POOL,2017/09/28,,OTHER,TRUE,TRUE,CHLORINE,3.5999999,,7.4000001,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,39
1324909,66119,DRURY INN & SUITES,9501 BLAIRWOOD RD,,LOUISVILLE,KY,40222,JEFFERSON,HOT TUB / SPA,2017/09/28,,OTHER,TRUE,TRUE,BROMINE,,4.5,7.5999999,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,40
1325176,97088,HILTON GARDEN INN,1530 ALLIANT AVE,,JEFFERSONTOWN,KY,40299,JEFFERSON,POOL,2017/09/29,,OTHER,TRUE,TRUE,CHLORINE,4.5999999,,7.6999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,41
1325203,66059,COUNTRY INN & SUITES,1241 KENTUCKY MILLS DR,,LOUISVILLE,KY,40299,JEFFERSON,POOL,2017/09/29,,OTHER,TRUE,TRUE,BROMINE,,4.5,7.5999999,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,42
1325206,93922,COMFORT SUITES,1850 RESOURCE WAY,,JEFFERSONTOWN,KY,40299,JEFFERSON,POOL,2017/09/29,,OTHER,TRUE,TRUE,CHLORINE,3.2,,7.8000002,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual| other - disinfectant combined residual| other - temperature (heated facilities),43
1325540,103431,WINGATE BY WYNDHAM,12301 ALLIANT COURT,,JEFFERSONTOWN,KY,40299,JEFFERSON,POOL,2017/10/02,95,FOLLOW-UP,FALSE,TRUE,BROMINE,,,,TRUE,TRUE,TRUE,TRUE,TRUE," other - vacuum system: installation, operating, good repair| Disinfectant Level - disinfectant free residual",44
1325540,103431,WINGATE BY WYNDHAM,12301 ALLIANT COURT,,JEFFERSONTOWN,KY,40299,JEFFERSON,POOL,2017/10/02,95,FOLLOW-UP,TRUE,TRUE,BROMINE,,,,TRUE,TRUE,TRUE,TRUE,TRUE," other - vacuum system: installation, operating, good repair| Disinfectant Level - disinfectant free residual",45
1326411,73219,HAMPTON INN & SUITES LOUISVILLE EAST,1451 ALLIANT AVE,,LOUISVILLE,KY,40299,JEFFERSON,POOL,2017/10/04,,OTHER,TRUE,TRUE,BROMINE,,4.8000002,7.5,TRUE,TRUE,TRUE,FALSE,TRUE, other - disinfectant combined residual| Disinfectant Level - disinfectant free residual,46
1326673,78826,HOLIDAY INN LOU. AIRPORT SOUTH,6551 PARAMOUNT PARK,,LOUISVILLE,KY,40213,JEFFERSON,POOL,2017/10/04,88,ROUTINE,FALSE,TRUE,BROMINE,,4.5,7.4000001,TRUE,TRUE,TRUE,FALSE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - chemicals stock: adequate, fresh, storage, usage| Disinfectant Level - disinfectant free residual| other - operator testing frequency, log sheets maintained",47
1326673,78826,HOLIDAY INN LOU. AIRPORT SOUTH,6551 PARAMOUNT PARK,,LOUISVILLE,KY,40213,JEFFERSON,POOL,2017/10/04,88,ROUTINE,TRUE,TRUE,BROMINE,,4.5,7.4000001,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - chemicals stock: adequate, fresh, storage, usage| Disinfectant Level - disinfectant free residual| other - operator testing frequency, log sheets maintained",48
1327269,98992,FAIRFIELD INN AND SUITES,1220 KENTUCKY MILLS DR,,LOUISVILLE,KY,40299,JEFFERSON,POOL,2017/10/09,95,ROUTINE,FALSE,TRUE,BROMINE,,3.5999999,7.5,TRUE,TRUE,TRUE,FALSE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| Disinfectant Level - disinfectant free residual",49
1327269,98992,FAIRFIELD INN AND SUITES,1220 KENTUCKY MILLS DR,,LOUISVILLE,KY,40299,JEFFERSON,POOL,2017/10/09,95,ROUTINE,TRUE,TRUE,BROMINE,,3.5999999,7.5,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| Disinfectant Level - disinfectant free residual",50
1327325,29358,CROWNE PLAZA,830 PHILLIPS LN,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2017/10/09,93,ROUTINE,FALSE,TRUE,CHLORINE,2.5,,7.5999999,TRUE,TRUE,TRUE,TRUE,TRUE," other - disinfectant combined residual| other - structures, decks, furnishings:  good repair, clean| other - ladders, steps, handrails, diving boards, lifelines and floats in good repair",51
1327325,29358,CROWNE PLAZA,830 PHILLIPS LN,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2017/10/09,93,ROUTINE,TRUE,TRUE,CHLORINE,2.5,,7.5999999,TRUE,TRUE,TRUE,TRUE,TRUE," other - disinfectant combined residual| other - structures, decks, furnishings:  good repair, clean| other - ladders, steps, handrails, diving boards, lifelines and floats in good repair",52
1327914,29693,THE FORUM AT BROOKSIDE,200 BROOKSIDE DR,,DOUGLASS HILLS,KY,40243,JEFFERSON,POOL,2017/10/10,,OTHER,TRUE,TRUE,BROMINE,,7.1999998,7.5,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,53
1328092,29699,STONEMILL VILLAGE / INDOOR POOL,850 WASHBURN AVE,,LOUISVILLE,KY,40222,JEFFERSON,POOL,2017/10/09,88,ROUTINE,FALSE,TRUE,CHLORINE,0.60000002,,7.0999999,TRUE,TRUE,TRUE,FALSE,FALSE," other - pumps, approved type, capacity, gauges, valving, strainer, operating, good repair| Disinfectant Level - disinfectant free residual| pH Balance - ph(7.2-7.8)| other - operator testing frequency, log sheets maintained| other - toilet tissue, hand-drying, towels, soap provided",54
1328092,29699,STONEMILL VILLAGE / INDOOR POOL,850 WASHBURN AVE,,LOUISVILLE,KY,40222,JEFFERSON,POOL,2017/10/09,88,ROUTINE,TRUE,TRUE,CHLORINE,0.60000002,,7.0999999,TRUE,TRUE,TRUE,TRUE,TRUE," other - pumps, approved type, capacity, gauges, valving, strainer, operating, good repair| Disinfectant Level - disinfectant free residual| pH Balance - ph(7.2-7.8)| other - operator testing frequency, log sheets maintained| other - toilet tissue, hand-drying, towels, soap provided",55
1328263,29311,ROYAL AMBASSADOR,1602 GARDINER LN,,LOUISVILLE,KY,40205,JEFFERSON,POOL,2017/10/11,94,ROUTINE,FALSE,TRUE,BROMINE,,2,7.5999999,TRUE,TRUE,FALSE,TRUE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| Safety Equipment - first aid, safety equipment, spa timer switch, telephone: readily accessible, adequate, maintained, good repair",56
1328273,69696,FOUR POINTS BY SHERATON,2850 CRITTENDEN DR,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2017/10/10,,OTHER,TRUE,TRUE,BROMINE,,4,7.3000002,TRUE,TRUE,TRUE,FALSE,TRUE, other - disinfectant combined residual| Disinfectant Level - disinfectant free residual,57
1328274,78986,HOLIDAY INN,447 FARMINGTON AVE,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2017/10/10,,OTHER,TRUE,TRUE,CHLORINE,7.4000001,,8.1999998,TRUE,TRUE,TRUE,FALSE,FALSE, pH Balance - ph(7.2-7.8)| Disinfectant Level - disinfectant free residual,58
1328275,51574,HAZELWOOD CTR ICFR,1800 BLUEGRASS AVE,,LOUISVILLE,KY,40215,JEFFERSON,POOL,2017/10/10,,OTHER,TRUE,TRUE,CHLORINE,2.2,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE, other - total alkalinity (50-180 ppm),59
1328277,98312,BEST WESTERN PREMIER,4110 DIXIE HIGHWAY,,LOUISVILLE,KY,40216,JEFFERSON,POOL,2017/10/11,,OTHER,TRUE,TRUE,CHLORINE,3.8,,7.3000002,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual| other - disinfectant combined residual,60
1328472,78169,FAIRFIELD INN / SPRINGHILL SUITES,132 E JEFFERSON ST,,LOUISVILLE,KY,40202,JEFFERSON,POOL,2017/10/10,87,ROUTINE,FALSE,TRUE,CHLORINE,4.8000002,,7.5,TRUE,TRUE,TRUE,FALSE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - ladders, steps, handrails, diving boards, lifelines and floats in good repair| Disinfectant Level - disinfectant free residual| other - disinfectant combined residual| other - operator testing frequency, log sheets maintained",61
1328472,78169,FAIRFIELD INN / SPRINGHILL SUITES,132 E JEFFERSON ST,,LOUISVILLE,KY,40202,JEFFERSON,POOL,2017/10/10,87,ROUTINE,TRUE,TRUE,CHLORINE,4.8000002,,7.5,TRUE,TRUE,TRUE,TRUE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - ladders, steps, handrails, diving boards, lifelines and floats in good repair| Disinfectant Level - disinfectant free residual| other - disinfectant combined residual| other - operator testing frequency, log sheets maintained",62
1328882,71464,COMFORT SUITES,6535 PARAMOUNT PARK DR,,LOUISVILLE,KY,40213,JEFFERSON,POOL,2017/10/13,95,FOLLOW-UP,FALSE,TRUE,CHLORINE,1.6,,7.5,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair",63
1328882,71464,COMFORT SUITES,6535 PARAMOUNT PARK DR,,LOUISVILLE,KY,40213,JEFFERSON,POOL,2017/10/13,95,FOLLOW-UP,TRUE,TRUE,CHLORINE,1.6,,7.5,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair",64
1328883,99898,BEAR PADDLE SWIM CLUB,2915 HURSTBOURNE PKWY,,LOUISVILLE,KY,40220,JEFFERSON,POOL,2017/10/12,91,ROUTINE,FALSE,TRUE,CHLORINE,2.5999999,,7.5,TRUE,TRUE,FALSE,TRUE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - disinfectant combined residual| Safety Equipment - first aid, safety equipment, spa timer switch, telephone: readily accessible, adequate, maintained, good repair",65
1329255,29463,YMCA,555 S 2ND ST,,LOUISVILLE,KY,40202,JEFFERSON,POOL,2017/10/16,95,ROUTINE,FALSE,TRUE,CHLORINE,2.8,,7.3000002,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual| other - temperature (heated facilities),66
1329255,29463,YMCA,555 S 2ND ST,,LOUISVILLE,KY,40202,JEFFERSON,POOL,2017/10/16,95,ROUTINE,TRUE,TRUE,CHLORINE,2.8,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE, Disinfectant Level - disinfectant free residual| other - temperature (heated facilities),67
1329256,29469,YMCA SOUTHEAST,5930 SIX MILE LANE,,LOUISVILLE,KY,40218,JEFFERSON,POOL,2017/10/16,96,ROUTINE,TRUE,TRUE,CHLORINE,2,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE," other - equipment room: adequate space, floor drain, lighting, ventilation, no non-essential materials, clean, good repair| other - recirculating piping:  identified, approved materials, good repair",68
1329279,29467,YMCA SOUTHWEST,2800 FORDHAVEN RD,,LOUISVILLE,KY,40214,JEFFERSON,POOL,2017/10/16,,OTHER,TRUE,TRUE,CHLORINE,0.60000002,,7.3000002,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,69
1329612,76509,COMFORT INN HOTEL,4444 DIXIE HWY,,LOUISVILLE,KY,40216,JEFFERSON,POOL,2017/10/17,,OTHER,TRUE,TRUE,BROMINE,,22.5,7.8000002,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,70
1329776,93101,VU CLUB,822 S. FLOYD ST.,,LOUISVILLE,KY,40202,JEFFERSON,HOT TUB / SPA,2017/10/18,93,ROUTINE,FALSE,TRUE,CHLORINE,2,,8,TRUE,TRUE,TRUE,TRUE,FALSE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| pH Balance - ph(7.2-7.8)| other - operator testing frequency, log sheets maintained",71
