RequestComplaintID,RCode,RCodeDescription,EHS,section,TakenBy,Method,Duplicate,EstID,oss_id,RequestDate,ResolvedDate,NextInspDate,IsCityorCounty,Status,RequestType,IsFollowUp,OwnerType,PersonOrPremiseZip,ComplaintantZip,OwnerZip,ObjectId
510289,671,MOSQUITO CONTROL,0,26,MP/MR,OTHER,NO,,,2012/02/10 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,28
504124,685,PRIVATE SEWAGE,75,0,,,NO,77775,,2011/09/30 04:00:00+00,,,COUNTY,RESOLVED,REQUEST,,,40223,,,29
539122,685,PRIVATE SEWAGE,0,2,MDR,CITY CALL,NO,,,2013/06/23 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40291,40291,,30
582336,691,WASTE WATER TREATMENT PLANT,0,0,,,NO,,,2015/05/21 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,31
495530,691,WASTE WATER TREATMENT PLANT,0,0,LJ,PHONE CALL,NO,,,2011/05/20 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40223,,,32
515050,685,PRIVATE SEWAGE,5186,0,,OTHER,NO,28954,,2012/05/10 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40258,,,33
430651,691,WASTE WATER TREATMENT PLANT,75,2,JM-MR,PHONE,NO,,,2004/04/06 04:00:00+00,,2010/07/01 00:00:00,COUNTY,RESOLVED,COMPLAINT,NO,,40258,,,34
599851,691,WASTE WATER TREATMENT PLANT,0,0,,,NO,,,2016/02/29 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40217,,,35
510301,671,MOSQUITO CONTROL,0,26,MP/MR,OTHER,NO,,,2012/02/10 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,36
504125,685,PRIVATE SEWAGE,75,0,,,NO,34681,,2011/09/30 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40223,,,37
540582,685,PRIVATE SEWAGE,66,0,,,NO,,,2013/06/25 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40291,40291,,38
583131,607,RETAIL/FOOD ESTABLISHMENT,0,4,MDR,CITY CALL,NO,94875,,2015/06/01 04:00:00+00,2015/06/08 00:00:00,,COUNTY,RESOLVED,COMPLAINT,,,40214,,,39
495562,680,ONSITE SEWAGE DISPOSAL,43,0,SB,PHONE CALL,NO,,,2011/05/16 04:00:00+00,2022/01/21 00:00:00,,COUNTY,RESOLVED,COMPLAINT,,,40291,,40291,40
515165,685,PRIVATE SEWAGE,0,0,,OTHER,NO,,,2012/05/07 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40222,,,41
430734,691,WASTE WATER TREATMENT PLANT,80,2,EM-MR,LETTER,NO,,,2004/04/08 04:00:00+00,,2015/07/17 00:00:00,COUNTY,OPEN,COMPLAINT,NO,,40216,,,42
600274,614,FOOD MANAGERS,0,4,DR/MR,OTHER,NO,99023,,2016/02/29 05:00:00+00,,2016/03/29 00:00:00,COUNTY,RESOLVED,COMPLAINT,,,40214,,,43
510482,685,PRIVATE SEWAGE,0,2,MDR,CITY CALL,NO,,,2012/02/20 05:00:00+00,2019/02/08 00:00:00,,COUNTY,RESOLVED,COMPLAINT,,,40059,,,44
541166,630,PUBLIC BUILDINGS/RECREATIONAL FACILITIES,0,0,,,NO,,,2013/07/23 04:00:00+00,2013/07/23 00:00:00,,COUNTY,RESOLVED,COMPLAINT,,,40220,,,45
504126,685,PRIVATE SEWAGE,75,0,,OTHER,NO,76130,,2011/09/30 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40223,,,46
583889,605,FOOD SERVICE ESTABLISHMENT,85,4,PS/MR,PHONE CALL,NO,36820,,2015/06/10 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40206,,,47
515374,685,PRIVATE SEWAGE,75,0,,OTHER,NO,,,2012/05/11 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40219,,,48
495565,685,PRIVATE SEWAGE,0,0,MB,OTHER,NO,,,2011/05/18 04:00:00+00,,,COUNTY,RESOLVED,REQUEST,,,40059,,,49
454883,691,WASTE WATER TREATMENT PLANT,79,22,TFW,PHONE,NO,,,2006/10/04 04:00:00+00,2020/09/22 00:00:00,2011/02/15 00:00:00,COUNTY,RESOLVED,COMPLAINT,NO,,40211,,40211,50
600275,614,FOOD MANAGERS,0,4,BH/MR,OTHER,NO,31809,,2016/03/01 05:00:00+00,,2016/04/01 00:00:00,COUNTY,RESOLVED,COMPLAINT,,,40205,,,51
510522,691,WASTE WATER TREATMENT PLANT,0,2,DE,PHONE CALL,NO,,,2012/02/21 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40211,,,52
541927,691,WASTE WATER TREATMENT PLANT,6592,0,,,NO,,,2013/08/05 04:00:00+00,2019/01/18 00:00:00,,COUNTY,RESOLVED,COMPLAINT,,,40213,,,53
504128,685,PRIVATE SEWAGE,75,0,,OTHER,NO,,,2011/09/29 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40223,,,54
584253,605,FOOD SERVICE ESTABLISHMENT,0,4,RG/MR,PHONE CALL,NO,,,2015/06/12 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,55
515377,685,PRIVATE SEWAGE,43,0,,OTHER,NO,,,2012/05/17 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40299,,,56
584396,691,WASTE WATER TREATMENT PLANT,80,0,,,NO,,,2015/06/16 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,57
495671,685,PRIVATE SEWAGE,43,0,SB,PHONE CALL,NO,,,2011/05/17 04:00:00+00,,2011/06/15 00:00:00,COUNTY,RESOLVED,REQUEST,,,40299,,,58
600279,614,FOOD MANAGERS,0,4,JC/MR,OTHER,NO,91668,,2016/02/26 05:00:00+00,,2016/03/26 00:00:00,COUNTY,RESOLVED,COMPLAINT,,,40219,,,59
456654,691,WASTE WATER TREATMENT PLANT,47,22,JB-MR,LETTER,NO,,,2007/02/01 05:00:00+00,,2019/04/29 00:00:00,COUNTY,OPEN,COMPLAINT,NO,,40216,,,60
510643,671,MOSQUITO CONTROL,0,26,MP/MR,OTHER,NO,,,2012/02/21 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,61
544531,691,WASTE WATER TREATMENT PLANT,0,2,MDR,PHONE CALL,NO,,,2013/09/09 04:00:00+00,2013/10/29 00:00:00,,COUNTY,RESOLVED,COMPLAINT,,,40206,,,62
504280,691,WASTE WATER TREATMENT PLANT,0,0,,,NO,,,2011/10/03 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40299,,,63
515380,691,WASTE WATER TREATMENT PLANT,43,0,,OTHER,NO,,,2012/04/25 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,64
584707,691,WASTE WATER TREATMENT PLANT,0,4,MDR,CITY CALL,NO,28972,,2015/06/22 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40118,,,65
495979,691,WASTE WATER TREATMENT PLANT,47,0,JM,PHONE CALL,NO,,,2011/05/31 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,66
600280,614,FOOD MANAGERS,0,4,JC/MR,OTHER,NO,89738,,2016/02/25 05:00:00+00,,2016/03/25 00:00:00,COUNTY,RESOLVED,COMPLAINT,,,42701,,,67
457449,691,WASTE WATER TREATMENT PLANT,79,22,TFW,PHONE,NO,,,2007/02/01 05:00:00+00,,2011/10/03 00:00:00,COUNTY,OPEN,COMPLAINT,NO,,40210,,40252,68
510644,671,MOSQUITO CONTROL,0,26,MP/MR,OTHER,NO,,,2012/02/21 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,69
546105,691,WASTE WATER TREATMENT PLANT,0,0,DE,PHONE CALL,NO,,,2013/10/01 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40216,40216,,70
504431,685,PRIVATE SEWAGE,43,0,,PHONE CALL,NO,,,2011/10/06 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,71
515383,685,PRIVATE SEWAGE,43,0,,OTHER,NO,,,2012/05/17 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,72
585126,697,RABIES,79,0,,,NO,,,2015/06/29 04:00:00+00,2015/07/08 00:00:00,,COUNTY,RESOLVED,COMPLAINT,,,40205,,40205,73
495996,691,WASTE WATER TREATMENT PLANT,43,0,TW,,NO,,,2011/05/31 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40211,,,74
600282,614,FOOD MANAGERS,0,4,GE/MR,OTHER,NO,96669,,2016/02/29 05:00:00+00,,2016/03/29 00:00:00,COUNTY,RESOLVED,COMPLAINT,,,40213,,,75
460255,667,METHAMPHETAMINE LABORATORY,58,3,MP/DE,PHONE,NO,,,2007/06/27 04:00:00+00,2022/04/14 00:00:00,2011/05/18 00:00:00,COUNTY,RESOLVED,COMPLAINT,NO,,40118,,40118,76
510772,671,MOSQUITO CONTROL,0,26,MP/MR,OTHER,NO,,,2012/02/24 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,77
550674,691,WASTE WATER TREATMENT PLANT,66,0,,,NO,,,2013/12/16 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40218,,,78
504649,685,PRIVATE SEWAGE,43,0,,PHONE CALL,NO,,,2011/10/10 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,79
515423,667,METHAMPHETAMINE LABORATORY,0,3,JN,PHONE CALL,NO,,,2012/05/16 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40212,,,80
585549,605,FOOD SERVICE ESTABLISHMENT,0,0,,PHONE CALL,NO,,,2015/07/02 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40220,,,81
496082,691,WASTE WATER TREATMENT PLANT,0,0,TW,PHONE CALL,NO,,,2011/06/01 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,82
600283,614,FOOD MANAGERS,0,4,BH/MR,OTHER,NO,33411,,2016/02/29 05:00:00+00,,2016/03/29 00:00:00,COUNTY,RESOLVED,COMPLAINT,,,40258,,,83
510848,671,MOSQUITO CONTROL,0,26,MP/MR,OTHER,NO,,,2012/02/23 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,84
464975,691,WASTE WATER TREATMENT PLANT,66,22,TFW,PHONE,NO,,,2008/01/22 05:00:00+00,,2010/12/01 00:00:00,COUNTY,RESOLVED,COMPLAINT,NO,,40216,,40216,85
511010,685,PRIVATE SEWAGE,43,0,,,NO,,,2012/02/22 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40299,,,86
553475,685,PRIVATE SEWAGE,0,2,MDR,CITY CALL,NO,,,2014/02/20 05:00:00+00,2019/11/15 00:00:00,,COUNTY,RESOLVED,COMPLAINT,,,40229,,,87
505082,685,PRIVATE SEWAGE,0,2,MDR,CITY CALL,NO,,,2011/10/19 04:00:00+00,,2011/11/01 00:00:00,COUNTY,RESOLVED,COMPLAINT,,,40216,,,88
515915,671,MOSQUITO CONTROL,0,26,MV/MR,OTHER,NO,,,2012/05/09 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,89
496194,685,PRIVATE SEWAGE,43,0,SB,PHONE CALL,NO,,,2011/06/01 04:00:00+00,,,COUNTY,RESOLVED,REQUEST,,,40229,,,90
600284,614,FOOD MANAGERS,0,4,JC/MR,OTHER,NO,96740,,2016/02/23 05:00:00+00,,2016/03/23 00:00:00,COUNTY,RESOLVED,COMPLAINT,,,40219,,,91
586522,605,FOOD SERVICE ESTABLISHMENT,0,4,PS/MR,PHONE CALL,NO,31331,,2015/07/15 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40220,,,92
505193,691,WASTE WATER TREATMENT PLANT,5186,0,,PHONE CALL,NO,28993,,2011/10/03 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40272,,,93
496196,685,PRIVATE SEWAGE,0,0,SB,PHONE CALL,NO,,,2011/05/31 04:00:00+00,,,COUNTY,RESOLVED,REQUEST,,,40223,,,94
516414,691,WASTE WATER TREATMENT PLANT,5187,0,,PHONE CALL,NO,,,2012/06/04 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40214,40214,40272,95
464982,691,WASTE WATER TREATMENT PLANT,66,22,TFW,PHONE,NO,,,2008/01/22 05:00:00+00,,2011/11/12 00:00:00,COUNTY,RESOLVED,COMPLAINT,NO,,40216,,40216,96
600335,614,FOOD MANAGERS,0,4,DS/MR,OTHER,NO,63024,,2016/02/10 05:00:00+00,,2016/03/10 00:00:00,COUNTY,RESOLVED,COMPLAINT,,,40403,,,97
511013,685,PRIVATE SEWAGE,43,0,,OTHER,NO,,,2012/02/22 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40207,,,98
554232,685,PRIVATE SEWAGE,47,0,,,NO,,,2014/03/10 04:00:00+00,,2014/03/24 00:00:00,COUNTY,RESOLVED,COMPLAINT,,,40219,,,99
586582,605,FOOD SERVICE ESTABLISHMENT,0,4,MDR,CITY CALL,NO,85763,,2015/07/05 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40222,,,100
505818,685,PRIVATE SEWAGE,0,0,,,NO,,,2011/10/25 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40059,,,101
496326,691,WASTE WATER TREATMENT PLANT,0,0,TW,PHONE CALL,NO,,,2011/06/06 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40299,,,102
516450,685,PRIVATE SEWAGE,43,0,,OTHER,NO,,,2012/05/30 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,103
464992,691,WASTE WATER TREATMENT PLANT,66,22,TFW,PHONE,NO,,,2008/01/22 05:00:00+00,,2010/10/21 00:00:00,COUNTY,RESOLVED,COMPLAINT,NO,,40216,,40216,104
600336,614,FOOD MANAGERS,0,4,MB/MR,OTHER,NO,95803,,2016/02/08 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40210,,,105
511131,691,WASTE WATER TREATMENT PLANT,43,0,,OTHER,NO,,,2012/02/29 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40216,,,106
554679,671,MOSQUITO CONTROL,0,26,MV/MR,OTHER,NO,,,2014/03/14 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,40013,,107
586763,691,WASTE WATER TREATMENT PLANT,0,2,PS/MR,PHONE CALL,NO,,,2015/07/21 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40258,,,108
506209,685,PRIVATE SEWAGE,0,0,,OTHER,NO,,,2011/11/04 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40207,,,109
496636,685,PRIVATE SEWAGE,43,0,KM,PHONE CALL,NO,,,2011/06/09 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40218,,,110
516623,685,PRIVATE SEWAGE,43,0,,PHONE CALL,NO,,,2012/06/04 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,111
465006,691,WASTE WATER TREATMENT PLANT,66,22,TFW,PHONE,NO,,,2008/01/22 05:00:00+00,,2010/11/01 00:00:00,COUNTY,RESOLVED,COMPLAINT,NO,,40216,,40216,112
600338,614,FOOD MANAGERS,0,4,TM/MR,OTHER,NO,99114,,2016/02/16 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40299,,,113
511259,685,PRIVATE SEWAGE,43,0,,OTHER,NO,,,2012/03/05 05:00:00+00,2012/03/06 00:00:00,,COUNTY,RESOLVED,COMPLAINT,,,40229,,,114
554918,691,WASTE WATER TREATMENT PLANT,0,0,KM,OTHER,YES,,,2014/03/20 04:00:00+00,,,COUNTY,RESOLVED,REQUEST,,,40299,,,115
587197,671,MOSQUITO CONTROL,0,4,RV/MR,OTHER,NO,,,2015/07/19 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,116
506264,691,WASTE WATER TREATMENT PLANT,87,0,,IN PERSON,NO,28954,,2011/11/02 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40258,,40258,117
496667,685,PRIVATE SEWAGE,0,0,MB,PHONE CALL,NO,,,2011/06/07 04:00:00+00,,,COUNTY,RESOLVED,REQUEST,,,40245,,,118
516638,685,PRIVATE SEWAGE,0,2,MDR,CITY CALL,NO,,,2012/06/01 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40214,,,119
465024,691,WASTE WATER TREATMENT PLANT,66,22,TFW,PHONE,NO,,,2008/01/22 05:00:00+00,,2011/04/01 00:00:00,COUNTY,RESOLVED,COMPLAINT,NO,,40216,,40216,120
600339,614,FOOD MANAGERS,0,4,BH/MR,OTHER,NO,96899,,2016/02/16 05:00:00+00,,2016/03/17 00:00:00,COUNTY,RESOLVED,COMPLAINT,,,40204,,,121
511674,671,MOSQUITO CONTROL,0,26,MP/MR,OTHER,NO,,,2012/03/08 05:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,122
512014,671,MOSQUITO CONTROL,0,26,MP/MR,OTHER,NO,,,2012/03/16 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,123
512017,671,MOSQUITO CONTROL,0,26,MP/MR,OTHER,NO,,,2012/03/16 04:00:00+00,2021/11/09 00:00:00,,COUNTY,RESOLVED,COMPLAINT,,,0,,,124
512119,685,PRIVATE SEWAGE,0,0,,PHONE CALL,NO,78737,,2012/03/21 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40214,,,125
512126,671,MOSQUITO CONTROL,0,26,MP/MR,OTHER,NO,,,2012/03/20 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,126
512135,671,MOSQUITO CONTROL,0,26,MP/MR,OTHER,NO,,,2012/03/20 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,127
512244,685,PRIVATE SEWAGE,0,2,MDR,PHONE CALL,NO,,,2012/03/22 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40216,,,128
512376,685,PRIVATE SEWAGE,0,2,MDR,PHONE CALL,NO,,,2012/03/26 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40219,,,129
512402,671,MOSQUITO CONTROL,0,26,AR/MR,LETTER,NO,,,2012/03/20 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,130
512410,671,MOSQUITO CONTROL,0,26,AR/MR,LETTER,NO,,,2012/03/14 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,131
512452,685,PRIVATE SEWAGE,43,0,,OTHER,NO,,,2012/03/21 04:00:00+00,,,COUNTY,RESOLVED,REQUEST,,,40118,,,132
512453,685,PRIVATE SEWAGE,43,0,,CITY CALL,NO,,,2012/03/23 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40118,,,133
512467,685,PRIVATE SEWAGE,0,0,,OTHER,NO,,,2012/03/28 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40299,40299,,134
512485,685,PRIVATE SEWAGE,43,0,,,NO,,,2012/03/28 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,135
512514,685,PRIVATE SEWAGE,43,0,,PHONE CALL,NO,,,2012/03/26 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40229,40229,,136
512518,685,PRIVATE SEWAGE,43,0,,PHONE CALL,NO,,,2012/03/19 04:00:00+00,,,COUNTY,RESOLVED,REQUEST,,,0,,,137
512527,691,WASTE WATER TREATMENT PLANT,75,0,,,NO,,,2012/03/22 04:00:00+00,,,COUNTY,RESOLVED,REQUEST,,,0,,,138
512823,685,PRIVATE SEWAGE,43,0,,OTHER,NO,,,2012/03/26 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,139
512980,685,PRIVATE SEWAGE,0,0,,,NO,,,2012/03/29 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40299,,,140
513113,605,FOOD SERVICE ESTABLISHMENT,0,4,GE/MR,IN PERSON,NO,85490,,2012/04/04 04:00:00+00,2012/04/09 00:00:00,,COUNTY,RESOLVED,COMPLAINT,,,40220,,,141
513163,685,PRIVATE SEWAGE,43,0,,OTHER,NO,,,2012/04/04 04:00:00+00,,,COUNTY,RESOLVED,REQUEST,,,40299,,,142
513581,685,PRIVATE SEWAGE,43,0,,OTHER,NO,,,2012/04/16 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40258,,,143
513656,685,PRIVATE SEWAGE,47,0,,OTHER,NO,28958,,2012/04/17 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40214,,,144
514030,685,PRIVATE SEWAGE,0,0,,,NO,,,2012/04/24 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40219,,,145
514031,685,PRIVATE SEWAGE,43,0,,OTHER,NO,,,2012/04/09 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40299,,,146
514032,691,WASTE WATER TREATMENT PLANT,66,0,,OTHER,NO,,,2012/04/19 04:00:00+00,,,COUNTY,RESOLVED,REQUEST,,,40291,,,147
514070,685,PRIVATE SEWAGE,0,0,,OTHER,NO,,,2012/04/20 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40245,,,148
514071,685,PRIVATE SEWAGE,0,0,,OTHER,NO,,,2012/04/20 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,0,,,149
514137,691,WASTE WATER TREATMENT PLANT,75,0,,PHONE CALL,NO,60574,,2012/04/25 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40220,,,150
514283,685,PRIVATE SEWAGE,43,0,,OTHER,NO,,,2012/04/25 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40223,,,151
514284,685,PRIVATE SEWAGE,43,0,,OTHER,NO,,,2012/04/24 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40219,,,152
514285,685,PRIVATE SEWAGE,43,0,,,NO,,,2012/04/24 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40299,,,153
514453,685,PRIVATE SEWAGE,0,0,,OTHER,NO,,,2012/04/30 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40205,,,154
514454,685,PRIVATE SEWAGE,0,0,,OTHER,NO,,,2012/04/30 04:00:00+00,,,COUNTY,RESOLVED,COMPLAINT,,,40205,,,155
